
Item_ID,Item_Name,Category,Genre,Tags,Rating
M052,The Hangover,Movie,Comedy,"Vegas, Bachelor Party, Mystery, Hangover, Wild",7.7
M053,Grand Budapest Hotel,Movie,Comedy,"Hotel, Eccentric, Theft, Murder Mystery, Style",8.1
M054,Knives Out,Movie,Mystery,"Whodunit, Detective, Wealthy Family, Murder, Clues",7.9
M055,Glass Onion,Movie,Mystery,"Tech Billionaire, Island, Murder, Whodunit, Puzzle",7.1
M056,Shutter Island,Movie,Thriller,"Psychiatric, Island, Detective, Mind Twist, Mystery",8.2
M057,Gone Girl,Movie,Thriller,"Disappearance, Marriage, Secrets, Manipulation, Crime",8.1
M058,Zodiac,Movie,Crime,"Serial Killer, Journalism, Investigation, San Francisco, Cold Case",7.7
M059,The Social Network,Movie,Drama,"Facebook, Startup, Lawsuit, Betrayal, Tech",7.8
M060,Good Will Hunting,Movie,Drama,"Genius, Math, Therapy, Mentorship, Boston",8.3
M061,Dead Poets Society,Movie,Drama,"Teacher, Boarding School, Poetry, Inspiration, Youth",8.1
M062,The Truman Show,Movie,Drama,"Reality TV, Simulation, Media, Freedom, Awakening",8.2
M063,Her,Movie,Romance,"AI, Future, Lonely, Virtual Assistant, Love",8.0
M064,Eternal Sunshine of the Spotless Mind,Movie,Romance,"Memory, Breakup, Sci-Fi, Surreal, Love",8.3
M065,Pride and Prejudice,Movie,Romance,"Class, England, Period Drama, Love, Family",7.8
M066,The Notebook,Movie,Romance,"Memory, Decades, Summer Love, Passion, Letters",7.8
M067,500 Days of Summer,Movie,Romance,"Nonlinear, Dating, Expectations, Reality, Heartbreak",7.7
M068,The Conjuring,Movie,Horror,"Haunted House, Demons, Paranormal, Investigation, Exorcism",7.5
M069,A Quiet Place,Movie,Horror,"Monsters, Silence, Family, Survival, Tension",7.5
M070,Get Out,Movie,Horror,"Social Commentary, Hypnosis, Mystery, Psychological, Trap",7.8
M071,Hereditary,Movie,Horror,"Family Cult, Grief, Supernatural, Trauma, Terror",7.3
M072,The Shining,Movie,Horror,"Hotel, Isolation, Madness, Winter, Paranormal",8.4
M073,The Thing,Movie,Horror,"Antarctica, Shape-shifter, Alien, Paranoia, Survival",8.2
M074,Nightcrawler,Movie,Thriller,"Journalism, Crime, Ambition, Sociopath, Night",7.8
M075,Prisoners,Movie,Thriller,"Abduction, Investigation, Vigilante, Morality, Dark",8.1
M076,Sicario,Movie,Crime,"Cartel, Border, FBI, Morality, Escalation",7.6
M077,No Country for Old Men,Movie,Crime,"Texas, Killer, Money, Fate, Lawman",8.2
M078,Taxi Driver,Movie,Crime,"Vigilante, Insomnia, Isolation, New York, Decadence",8.2
M079,Goodfellas,Movie,Crime,"Mob, Organized Crime, Rise and Fall, Gangster, 80s",8.7
M080,Scarface,Movie,Crime,"Drugs, Miami, Power, Downfall, Immigrant",8.3
M081,The Departed,Movie,Crime,"Undercover, Boston, Irish Mob, Cop, Mole",8.5
M082,Catch Me If You Can,Movie,Crime,"Con Artist, FBI, Pilot, Fraud, Chase",8.1
M083,Oppenheimer,Movie,Documentary,"Physics, WWII, Atomic Bomb, History, Trial",8.8
M084,Free Solo,Movie,Documentary,"Climbing, Extreme Sports, Nature, Risk, Obsession",8.1
M085,My Octopus Teacher,Movie,Documentary,"Nature, Ocean, Friendship, Wildlife, South Africa",8.1
M086,13th,Movie,Documentary,"Justice, History, Race, Prison System, Law",8.2
M087,Won't You Be My Neighbor?,Movie,Documentary,"Biography, TV, Kindness, Childhood, Inspiration",8.4
M088,March of the Penguins,Movie,Documentary,"Penguins, Antarctica, Survival, Wildlife, Nature",7.5
M089,Spider-Man: No Way Home,Movie,Action,"Multiverse, Villains, Superheroes, Friendship, Action",8.2
M090,Guardians of the Galaxy,Movie,Sci-Fi,"Space, Humor, Misfits, Music, Action",8.0
M091,Thor: Ragnarok,Movie,Action,"Gladiator, Space, Comedy, Gods, Destruction",7.9
M092,Doctor Strange,Movie,Fantasy,"Sorcery, Multiverse, Dimensions, Time, Magic",7.5
M093,Everything Everywhere All at Once,Movie,Sci-Fi,"Multiverse, Family, Existential, Kung Fu, Chaos",7.8
M094,Spider-Man: Across the Spider-Verse,Movie,Animation,"Multiverse, Animation, Canon, Superheroes, Action",8.6
M095,The Incredibles,Movie,Animation,"Superheroes, Family, Secret Identity, Action, Pixar",8.0
M096,Ratatouille,Movie,Animation,"Chef, Paris, Food, Ambition, Pixar",8.1
M097,Finding Nemo,Movie,Animation,"Ocean, Search, Fatherhood, Fish, Journey",8.2
M098,Shrek,Movie,Animation,"Ogre, Parody, Fairy Tale, Friendship, Swamp",7.9
M099,How to Train Your Dragon,Movie,Animation,"Dragons, Vikings, Friendship, Flight, Hero",8.1
M100,Kung Fu Panda,Movie,Animation,"Martial Arts, Animal, Destiny, Humor, Training",7.6
